"","ISO","EVENT_ID_CNTY","EVENT_ID_NO_CNTY","EVENT_DATE","YEAR","TIME_PRECISION","EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","NOTES","FATALITIES","TIMESTAMP","CONTINENT"
"21",760,"SYR18549",18549,"08-January-2018",2018,1,"Remote violence","QSD: Syrian Democratic Forces",NA,2,"Islamic State (Syria)",NA,2,22,"Middle East","Syria","Ar-Raqqa",NA,NA,"Ar-Raqqa",35.943,39.052,1,"LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/7-january-a-fighter-qasim-jarkas-of-sdf-killed-due-ied-explosion; LiveUMap_https://twitter.com/24Raqqa/status/950066842269356032","Other-Local","A militant of the QSD militia was killed in an IED explosion in Ar-Raqqa city suspected to be planted by IS.",1,1545323759,"Middle East"
"22",356,"IND41040",41040,"02-December-2018",2018,1,"Riots/Protests","Protesters (India)","INC: Indian National Congress",6,NA,NA,0,60,"Southern Asia","India","Karnataka","Kalaburagi",NA,"Jevargi",17.014,76.773,1,"Deccan Herald","National","On December 2, in Jevargi town (Kalaburagi, Karnataka), supporters of several Congress MLAs staged demonstrations because they were denied a berth in the H D Kumaraswamy Cabinet.",0,1544551404,"Asia"
"23",466,"MLI1801",1801,"10-January-2018",2018,1,"Battle-no change 
of territory","JNIM: Group for Support of Islam and Muslims",NA,2,"Military Forces of Mali (2013-)",NA,1,12,"Western Africa","Mali","Mopti","Djenne",NA,"Djenne",13.904,-4.56,2,"Menastream","Other-subnational","FAMa (National Guard) ambushed around 18h near Djenne, Mopti Region presumably by JNIM/Katiba Macina militants, one guard killed and 6 wounded including 3 severely.",1,1546559482,"Africa"
"24",368,"IRQ5583",5583,"04-February-2018",2018,1,"Strategic development","Military Forces of Iraq (2014-)",NA,1,NA,NA,0,10,"Middle East","Iraq","Anbar",NA,NA,"Ar Rummanah",34.394,41.08,1,"Al Ghad Press","Regional","Defusal: on Feb 04, military forces seized and defused a number of IED and mortar shells left behind by IS militants in Ar-Rummanah area in Al-Qaim district.",0,1542756345,"Middle East"
"25",356,"IND32213",32213,"20-June-2018",2018,1,"Battle-no change 
of territory","Unidentified Armed Group (India)",NA,3,"Police Forces of India (2014-)",NA,1,13,"Southern Asia","India","Jammu and Kashmir","Pulwama",NA,"Pulwama",33.874,74.9,2,"UNI (United News of India)","National","On 20 Jun, one policeman was killed and two injured when militants fired at a police car on the Srinagar-Jammu highway near the Galander bypass in Pulwama district (J&K).",1,1546889918,"Asia"
"26",356,"IND25993",25993,"16-January-2018",2018,1,"Riots/Protests","Protesters (India)","NCP: Nationalist Congress Party",6,NA,NA,0,60,"Southern Asia","India","Maharashtra","Osmanabad",NA,"Osmanabad",18.184,76.038,2,"Hindustan Times","National","On January 16, in Osmanabad, intensifying its protest against the Devendra Fadnavis-led BJP government in the state over farmers' loan, the Nationalist Congress Party (NCP) restarted its agitation 'Halla Bol Andolan' from Osmanabad district of the drought-prone Marathwada region.",0,1542756328,"Asia"
"27",760,"SYR30022",30022,"17-March-2018",2018,1,"Remote violence","Military Forces of Turkey (2016-)",NA,8,"QSD: Syrian Democratic Forces",NA,2,28,"Middle East","Syria","Al-Hasakeh",NA,NA,"Tell Halaf",36.824,40.038,2,"SHAM: SHAM_http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%B3%D8%A8%D8%AA-17-03-2018.html","Other-Local","Turkish forces fired heavy machine gun artillery at a QSD patrol near Tell Halaf. No injuries or fatalities were reported.",0,1543860566,"Middle East"
"28",566,"NIG12562",12562,"30-May-2018",2018,1,"Battle-no change 
of territory","Police Forces of Nigeria (2015-)",NA,1,"Boko Haram - Wilayat Gharb Ifriqiyyah",NA,2,12,"Western Africa","Nigeria","Oyo","Olorunsogo",NA,"Igbetti",8.75,4.133,2,"Local Source Project","Other","30 May. Fulanis kill a police officer in Oke Ogun area, Olorunsogo.",1,1546559422,"Africa"
"29",50,"BGD3140",3140,"10-March-2018",2018,1,"Riots/Protests","Protesters (Bangladesh)","BNP: Bangladesh Nationalist Party",6,NA,NA,0,60,"Southern Asia","Bangladesh","Dhaka","Dhaka",NA,"Dhaka-Paltan",23.736,90.414,1,"The Daily Star","National","On March 10, the BNP party staged demonstrations at different thana areas in Dhaka city protesting against police 'action' on BNP's Thursday's sit-in programme in front of the National Press Club and demanding the release of its chairperson Khaleda Zia from jail.",0,1542756291,"Asia"
"30",4,"AFG13120",13120,"08-August-2018",2018,2,"Battle-no change 
of territory","Taliban",NA,2,"Military Forces of Afghanistan (2004-)",NA,1,12,"Southern Asia","Afghanistan","Farah","Bala Buluk",NA,"Bala Buluk",32.636,62.465,2,"BBC Monitoring; Voice of Jihad","National","On 08-August-2018 it was reported that 16 Afghan military forces were killed by Taliban militants at a military base in the Bala Buluk district of Farah province.",16,1536022731,"Asia"
"31",4,"AFG15201",15201,"25-November-2018",2018,1,"Battle-no change 
of territory","Military Forces of Afghanistan (2004-)",NA,1,"Taliban and/or Islamic State (Afghanistan)",NA,2,12,"Southern Asia","Afghanistan","Ghazni","Qarabagh",NA,"Qarabagh",33.198,68.108,2,"Afghan Ministry of Defense in Farsi","National","As reported on Nov 26, over the past 24 hours, Afghan military forces conducted ground operations with air support against suspected Taliban and/or IS militants in Gilan, Jaghuri, Andar, Qarabagh, and Khawaja Umari districts, Ghazni province. 58 militants, including 19 Pakistanis, were killed (coded across 5 events) and 3 were injured.",11,1543875627,"Asia"
"32",586,"PAK45456",45456,"02-November-2018",2018,1,"Riots/Protests","Protesters (Pakistan)","JUI-F: Jamiat Ulema-e-Islam-Fazl; Muslim Group (Pakistan)",6,NA,NA,0,60,"Southern Asia","Pakistan","Khyber Pakhtunkhwa","Mohmand",NA,"Ghalanai",34.323,71.391,1,"Dawn (Pakistan)","National","On Nov 2, JUI-F and other activists staged a protest demonstration in Ghalanai town (Mohmand, KP) against the acquittal of Christian woman Aasia Bibi from blasphemy charges.",0,1541522738,"Asia"
"33",275,"PSE3981",3981,"26-October-2018",2018,1,"Riots/Protests","Military Forces of Israel (2009-)",NA,8,"Rioters (Palestine)",NA,5,58,"Middle East","Palestine","Gaza Strip",NA,NA,"Gaza",31.5,34.467,2,"The Times of Israel","National","On Oct 26, violent demonstrations were reported east of Gaza city. Israeli forces responded with tear gas and live fire. Across Gaza 170 people were injured.",0,1540850084,"Middle East"
"34",887,"YEM25982",25982,"30-November-2018",2018,1,"Remote violence","Military Forces of Yemen (2016-) Supreme Political Council",NA,1,"Civilians (Yemen)",NA,7,17,"Middle East","Yemen","Al Hudaydah",NA,NA,"Hays",13.932,43.483,1,"Al Mandeb News","Subnational","For the second consecutive day, pro-Houthi shelling was reported on the city of Hays, south of Hudaydah governorate in western Yemen. 1 citizen was reported injured as a popular market was struck.",0,1544482017,"Middle East"
"35",760,"SYR41812",41812,"10-July-2018",2018,1,"Battle-no change 
of territory","Military Forces of Syria (2000-)",NA,1,"Khalid ibn al Walid Army",NA,2,12,"Middle East","Syria","As-Sweida",NA,NA,"Khalkhla Airport",33.061,36.554,1,"LiveUMap: LiveUMap_https://syria.LiveUMap.com/en/2018/10-july-south-syria-proassad-sources-say-they-thwarted-an; LiveUMap_https://twitter.com/QalaatAlMudiq/status/1016793208142090240","Other-Local","During clashes, regime forces thwarted an infiltration attempt by Khalid ibn al Walid army fighters into the Khalkhla Military Airport. No injuries or fatalities were reported.",0,1546889461,"Middle East"
"36",760,"SYR32362",32362,"29-April-2018",2018,1,"Battle-no change 
of territory","Military Forces of Syria (2000-)","Militia (Pro-Government)",1,"QSD: Syrian Democratic Forces",NA,2,12,"Middle East","Syria","Deir-ez-Zor",NA,NA,"Shaqra",35.384,40.121,1,"SOHR; LiveUMap: SOHR_http://www.syriahr.com/en/?p=90727; LiveUMap_https://syria.liveuamap.com/en/2018/29-april-syrian-army-control-villages-aljunaynah-aljiyah; LiveUMap_https://twitter.com/watanisy/status/990562641792917505; LiveUMap_https://syria.liveuamap.com/en/2018/29-april-the-usled-coalition-bombed-the-syrian-government; LiveUMap_https://twitter.com/shane_bauer/status/990648692087508992; LiveUMap_https://syria.liveuamap.com/en/2018/29-april-sdf-spokesman-kino-gabriel-our-forces-launched-an; LiveUMap_https://twitter.com/SyriacMFS/status/990653104302579714","Other-Local","The Syrian army backed by its allied militiamen clashed with QSD in Jiah, Jneineh, Elhisan and Shaqra villages in Deir-ez-Zor countryside, where the Syrian army controlled these villages before QSD regained control of them, the clashes were accompanied by exchanged shelling. 15 fighters were killed 6 of them are from QSD. Distributed fatalities over the activities as following 4 in each of Jiah, Jneineh, and Shaqra and 3 in Elhisan.",4,1546889240,"Middle East"
"37",887,"YEM23170",23170,"04-September-2018",2018,1,"Battle-no change 
of territory","Military Forces of Yemen (2016-) Supreme Political Council",NA,1,"National Resistance Forces","Operation Restoring Hope",3,13,"Middle East","Yemen","Al Hudaydah",NA,NA,"Ad Durayhimi",14.637,43.055,2,"Al Mashhad Al Yemeni Al Awal","National","Pro-Houthi forces claimed to have attacked anti-Houthi forces, including from the Saudi-led coalition, in Durayhimi district, south of Hudaydah city in western Yemen. Two military vehicles were reported destroyed during the clashes and their crews killed and injured; the total reported number of fatalities in the district amounted to 45 fighters, although this number could not be confirmed.",0,1536618857,"Middle East"
"38",356,"IND27951",27951,"12-March-2018",2018,1,"Riots/Protests","Rioters (India)",NA,5,"Civilians (India)","Labour Group (India)",7,57,"Southern Asia","India","Jammu and Kashmir","Shopian",NA,"Shopian",33.716,74.834,2,"Kashmir Times (India)","Subnational","Rioting youth threw stones at shopkeepers when they were trying to open their stores in Shopian District on the morning of March 12, forcing them to shut down. The youth want the shutdown to demand the removal of an army camp.",0,1546889921,"Asia"
"39",454,"MAW405",405,"21-September-2018",2018,1,"Riots/Protests","Protesters (Malawi)",NA,6,NA,NA,0,60,"Eastern Africa","Malawi","Mzimba","TA Chindi",NA,"Mzuzu",-11.45,33.583,1,"Agence France Presse","International","On 21 September. Several hundred anti-graft activists took to the streets of ""Malawi's biggest cities"" (coded as Lilongwe, Blantyre and Mzuzu) to protest against alleged corruption in the government of President Peter Mutharika.",0,1546559418,"Africa"
"40",608,"PHL5888",5888,"05-October-2018",2018,1,"Battle-no change 
of territory","NPA: New People's Army",NA,3,"Military Forces of the Philippines (2016-)",NA,1,13,"South-Eastern Asia","Philippines","Soccsksargen","Sarangani",NA,"Upper Suyan",6.046,125.428,1,"Philippines Daily Inquirer","National","A member of the NPA was killed during an encounter with soldiers from the 73rd Infantry Battalion at Barangay Upper Suyan, Malapatan town, Sarangani province on October 5, 2018.",1,1539703907,"Asia"
"41",356,"IND39301",39301,"30-October-2018",2018,1,"Riots/Protests","Protesters (India)","BJP: Bharatiya Janata Party",6,NA,NA,0,60,"Southern Asia","India","Kerala","Idukki",NA,"Painavu",9.848,76.942,1,"IANS (India)","National","On October 30, in Painavu city (Idukki, Kerala), BJP workers staged a protest against the manner in which the Hindu devotees were treated in and around the Sabarimala temple town.",0,1541522736,"Asia"
"42",356,"IND31167",31167,"22-May-2018",2018,1,"Riots/Protests","Protesters (India)",NA,6,NA,NA,0,60,"Southern Asia","India","Jammu and Kashmir","Srinagar",NA,"Srinagar",34.086,74.806,1,"Kashmir Images","Subnational","Scholars of the Farsi language staged a protest on May 22 at the Press Enclave in Srinagar City to demand the government protest the historic language.",0,1542756332,"Asia"
"43",760,"SYR50163",50163,"12-December-2018",2018,1,"Strategic development","Global Coalition Against Daesh","Military Forces of United States",8,NA,NA,0,80,"Middle East","Syria","Al-Hasakeh",NA,NA,"Tell Halaf",36.824,40.038,1,"LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2018/12-december-us-forces-set-up-an-observation-post-near-the; LiveUMap_https://twitter.com/jisrtv/status/1072887933340934147","Other-Local","Security measures: Under the Global Coalition, Military Forces of United States set up a military observation point near Tell Halaf in northern al-Hasakeh countryside.",0,1545090694,"Middle East"
"44",356,"IND31607",31607,"30-May-2018",2018,1,"Riots/Protests","Protesters (India)",NA,6,NA,NA,0,60,"Southern Asia","India","Jammu and Kashmir","Pulwama",NA,"Drabgam",33.82,74.815,1,"Kashmir Monitor","Subnational","Protests broke out in Drabgam village, Pulwama tehsil/district on May 30 after it was discovered that the grave of slain HM commander Sameer Tiger was damaged. The protesters accused security forces of the act.",0,1542756333,"Asia"
"45",275,"PSE4321",4321,"16-December-2018",2018,1,"Riots/Protests","Military Forces of Israel (2009-)",NA,8,"Rioters (Palestine)",NA,5,58,"Middle East","Palestine","West Bank",NA,NA,"Qalqilyah",32.19,34.971,1,"Palestine News & Information Agency (WAFA)","National","On Dec 16, a Palestinian was shot and critically injured during clashes with Israeli forces in al-Sader area of Qalqilia.",0,1546900294,"Middle East"
"46",760,"SYR50231",50231,"14-December-2018",2018,1,"Battle-Non-state 
actor overtakes territory","QSD: Syrian Democratic Forces","Global Coalition Against Daesh; Menbij Military Council",2,"Islamic State (Syria)",NA,2,22,"Middle East","Syria","Deir-ez-Zor",NA,NA,"Hajin",34.687,40.839,1,"SOHR; LiveUMap: SOHR_http://www.syriahr.com/en/?p=109105; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-sdf-fighters-had-also-seized-a-large-quantity; LiveUMap_https://twitter.com/ameddicleT/status/1073704171604504586; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-following-fierce-clashes-during-their-operations; LiveUMap_https://twitter.com/ameddicleT/status/1073704169549238275; LiveUMap_https://syria.liveuamap.com/en/2018/14-december-reports-of-attempted-isis-counterattack-on-hajin; LiveUMap_https://twitter.com/vvanwilgenburg/status/1073700860520214529; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-very-intense-clashes-between-manbij-military; LiveUMap_https://twitter.com/AfarinMamosta/status/1073679206855401472; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-is-mortar-attack-on-sdf-points-inside-hajin-se; LiveUMap_https://twitter.com/RisboLensky/status/1073666958967619589; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-coalition-airstrikes-hit-isis-positions-at-citadel; LiveUMap_https://twitter.com/Newsjorf/status/1073665956948467712; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-isis-svbied-car-bomb-captured-by-the-kurdishled; LiveUMap_https://twitter.com/AfarinMamosta/status/1073602121734516736; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-heavy-clashes-continue-in-hajin; LiveUMap_https://twitter.com/_Caki__/status/1073592309969764357; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-daesh-is-counterattacking-hajin-very-heavy-clashes; LiveUMap_https://twitter.com/NotWoofers/status/1073537420820447232; LiveUMap_https://isis.liveuamap.com/en/2018/14-december-photos-posted-showing-coalition-airstrikes-in; LiveUMap_https://twitter.com/_Caki__/status/1073489504563023873","Other-Local","QSD forces, supported by Coalition airstrikes and Menbij Military Council fighters, captured the town of Hajin from Islamic State fighters. QSD forces captured at least one IS SVBIED during their advance. Amid rocket, mortar, and artillery shelling, 21 IS and 14 QSD fighters were killed in the fighting. Total fatalities coded to 35.",35,1545090694,"Middle East"
"47",854,"BFO1139",1139,"17-April-2018",2018,1,"Riots/Protests","Protesters (Burkina Faso)",NA,6,"Police Forces of Burkina Faso (2015-)",NA,1,16,"Western Africa","Burkina Faso","Hauts-Bassins","Tuy",NA,"Hounde",11.491,-3.522,1,"Radio Omega","Subnational","On April 17, youth in Hounde protested against the recruitment policy of the mining company Hounde Gold Operation, demanding more recruitment among the local population. Security forces arrested a dozen protesters.",0,1546825217,"Africa"
"48",454,"MAW401",401,"19-August-2018",2018,1,"Riots/Protests","Rioters (Malawi)",NA,5,"Civilians (Malawi)","UTM: United Transformation Movement",7,57,"Eastern Africa","Malawi","Mangochi","TA Mponda",NA,"Mangochi",-14.467,35.267,1,"Malawi24","National","On 19 August, two United Transformation Movement (UTM) vehicles were damaged in Mangochi in what appears to be a case of political sabotage.",0,1546559418,"Africa"
"49",760,"SYR32540",32540,"03-May-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Hama",NA,NA,"Huweiz",35.5,36.358,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=91034","Other-Local","Regime forces shelled Huweiz in Hama. Neither injuries nor fatalities were reported.",0,1543860565,"Middle East"
"50",887,"YEM21206",21206,"20-June-2018",2018,1,"Battle-Government 
regains territory","Military Forces of Yemen (2012-)","Operation Restoring Hope; Militia (Pro-Government)",1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Al Bayda",NA,NA,"Al Hazm",14.689,45.61,2,"Andalou Agency; Yemen Sky","National-Regional","37 Houthi and 6 pro-Hadi fighters from the 26th infantry brigade were reportedly killed during clashes in Al-Bayda, supported by Saudi-led coalition air raids. According to a Yemeni government source, pro-Hadi troops from the brigade were able to take control of Aqabat al Qindha'a area that links Bayhan (Shabwah) to Al-Bayda governorate in Naman district, as well as Al Fuqra, Qarn al Ban and Fadahah areas in Al Malajim district. Clashes were also reported in Nati district. 43 fatalities spread across five locations.",9,1543875628,"Middle East"
